"VarName","TimeString","VarValue","Validity","Time_ms"
"In_Analog","10/25/2018 20:16:54",0,1,43398845066.956
"In_Analog_MOVE","10/25/2018 20:16:54",0,1,43398845066.956
"In_Analog_VOLTAGE","10/25/2018 20:16:54",3.032856,1,43398845066.956
"In_PV_Percentual","10/25/2018 20:16:54",38.57784,1,43398845066.956
"Out_LMN_PER_PID","10/25/2018 20:16:54",0,1,43398845066.956
"Out_LMN_PID","10/25/2018 20:16:54",4.295302E-23,1,43398845066.956
"Out_Proportional","10/25/2018 20:16:54",0,1,43398845066.956
"Pump","10/25/2018 20:16:54",0,1,43398845066.956
"Solenoid","10/25/2018 20:16:54",0,1,43398845066.956
"PV_Out_PID","10/25/2018 20:16:54",38.57784,1,43398845066.956
"SP_Out_PID","10/25/2018 20:16:54",-7.230892E-07,1,43398845066.956
"In_Analog","10/25/2018 20:16:55",0,1,43398845078.5301
"In_Analog_MOVE","10/25/2018 20:16:55",0,1,43398845078.5301
"In_Analog_VOLTAGE","10/25/2018 20:16:55",3.032856,1,43398845078.5301
"In_PV_Percentual","10/25/2018 20:16:55",38.57784,1,43398845078.5301
"Out_LMN_PER_PID","10/25/2018 20:16:55",0,1,43398845078.5301
"Out_LMN_PID","10/25/2018 20:16:55",4.295302E-23,1,43398845078.5301
"Out_Proportional","10/25/2018 20:16:55",0,1,43398845078.5301
"Pump","10/25/2018 20:16:55",0,1,43398845078.5301
"Solenoid","10/25/2018 20:16:55",0,1,43398845078.5301
"PV_Out_PID","10/25/2018 20:16:55",38.57784,1,43398845078.5301
"SP_Out_PID","10/25/2018 20:16:55",-7.230892E-07,1,43398845078.5301
"In_Analog","10/25/2018 20:16:56",0,1,43398845090.1042
"In_Analog_MOVE","10/25/2018 20:16:56",0,1,43398845090.1042
"In_Analog_VOLTAGE","10/25/2018 20:16:56",3.032856,1,43398845090.1042
"In_PV_Percentual","10/25/2018 20:16:56",38.57784,1,43398845090.1042
"Out_LMN_PER_PID","10/25/2018 20:16:56",0,1,43398845090.1042
"Out_LMN_PID","10/25/2018 20:16:56",4.295302E-23,1,43398845090.1042
"Out_Proportional","10/25/2018 20:16:56",0,1,43398845090.1042
"Pump","10/25/2018 20:16:56",0,1,43398845090.1042
"Solenoid","10/25/2018 20:16:56",0,1,43398845090.1042
"PV_Out_PID","10/25/2018 20:16:56",38.57784,1,43398845090.1042
"SP_Out_PID","10/25/2018 20:16:56",-7.230892E-07,1,43398845090.1042
"In_Analog","10/25/2018 20:16:57",0,1,43398845101.6782
"In_Analog_MOVE","10/25/2018 20:16:57",0,1,43398845101.6782
"In_Analog_VOLTAGE","10/25/2018 20:16:57",3.032856,1,43398845101.6782
"In_PV_Percentual","10/25/2018 20:16:57",38.57784,1,43398845101.6782
"Out_LMN_PER_PID","10/25/2018 20:16:57",0,1,43398845101.6782
"Out_LMN_PID","10/25/2018 20:16:57",4.295302E-23,1,43398845101.6782
"Out_Proportional","10/25/2018 20:16:57",0,1,43398845101.6782
"Pump","10/25/2018 20:16:57",0,1,43398845101.6782
"Solenoid","10/25/2018 20:16:57",0,1,43398845101.6782
"PV_Out_PID","10/25/2018 20:16:57",38.57784,1,43398845101.6782
"SP_Out_PID","10/25/2018 20:16:57",-7.230892E-07,1,43398845101.6782
"In_Analog","10/25/2018 20:16:58",0,1,43398845113.2523
"In_Analog_MOVE","10/25/2018 20:16:58",0,1,43398845113.2523
"In_Analog_VOLTAGE","10/25/2018 20:16:58",3.032856,1,43398845113.2523
"In_PV_Percentual","10/25/2018 20:16:58",38.57784,1,43398845113.2523
"Out_LMN_PER_PID","10/25/2018 20:16:58",0,1,43398845113.2523
"Out_LMN_PID","10/25/2018 20:16:58",4.295302E-23,1,43398845113.2523
"Out_Proportional","10/25/2018 20:16:58",0,1,43398845113.2523
"Pump","10/25/2018 20:16:58",0,1,43398845113.2523
"Solenoid","10/25/2018 20:16:58",0,1,43398845113.2523
"PV_Out_PID","10/25/2018 20:16:58",38.57784,1,43398845113.2523
"SP_Out_PID","10/25/2018 20:16:58",-7.230892E-07,1,43398845113.2523
"In_Analog","10/25/2018 20:16:59",0,1,43398845124.8264
"In_Analog_MOVE","10/25/2018 20:16:59",0,1,43398845124.8264
"In_Analog_VOLTAGE","10/25/2018 20:16:59",3.032856,1,43398845124.8264
"In_PV_Percentual","10/25/2018 20:16:59",38.57784,1,43398845124.8264
"Out_LMN_PER_PID","10/25/2018 20:16:59",0,1,43398845124.8264
"Out_LMN_PID","10/25/2018 20:16:59",4.295302E-23,1,43398845124.8264
"Out_Proportional","10/25/2018 20:16:59",0,1,43398845124.8264
"Pump","10/25/2018 20:16:59",0,1,43398845124.8264
"Solenoid","10/25/2018 20:16:59",0,1,43398845124.8264
"PV_Out_PID","10/25/2018 20:16:59",38.57784,1,43398845124.8264
"SP_Out_PID","10/25/2018 20:16:59",-7.230892E-07,1,43398845124.8264
"In_Analog","10/25/2018 20:17:00",0,1,43398845136.4005
"In_Analog_MOVE","10/25/2018 20:17:00",0,1,43398845136.4005
"In_Analog_VOLTAGE","10/25/2018 20:17:00",3.032856,1,43398845136.4005
"In_PV_Percentual","10/25/2018 20:17:00",38.57784,1,43398845136.4005
"Out_LMN_PER_PID","10/25/2018 20:17:00",0,1,43398845136.4005
"Out_LMN_PID","10/25/2018 20:17:00",4.295302E-23,1,43398845136.4005
"Out_Proportional","10/25/2018 20:17:00",0,1,43398845136.4005
"Pump","10/25/2018 20:17:00",0,1,43398845136.4005
"Solenoid","10/25/2018 20:17:00",0,1,43398845136.4005
"PV_Out_PID","10/25/2018 20:17:00",38.57784,1,43398845136.4005
"SP_Out_PID","10/25/2018 20:17:00",-7.230892E-07,1,43398845136.4005
